AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
0.06,-0.67,10.56,-0.07,0.25,-0.15,1721026733003
-0.27,-1.90,10.36,-0.10,0.20,-0.16,1721026733006
-0.45,-2.96,9.92,-0.12,0.15,-0.19,1721026733009
-0.57,-3.50,9.17,-0.11,0.10,-0.21,1721026733012
-0.59,-3.89,8.44,-0.06,0.05,-0.20,1721026733014
-0.29,-6.04,8.84,-0.00,-0.03,-0.01,1721026733025
-0.09,-5.62,8.61,-0.01,-0.01,0.03,1721026733028
0.17,-4.27,8.20,0.01,0.02,0.10,1721026733031
0.43,-3.24,8.31,0.08,0.05,0.14,1721026733034
0.72,-2.65,9.53,0.13,0.10,0.16,1721026733037
1.23,-1.40,11.56,0.08,0.16,0.19,1721026733039
1.49,0.72,12.02,-0.04,0.24,0.20,1721026733042
1.69,0.61,13.45,-0.11,0.39,0.19,1721026733053
1.47,0.45,13.28,0.01,0.39,0.13,1721026733056
1.34,0.14,13.51,0.12,0.37,0.04,1721026733059
1.13,0.44,13.07,0.17,0.31,-0.03,1721026733062
0.87,0.93,11.92,0.19,0.23,-0.09,1721026733065
0.57,0.79,11.27,0.19,0.14,-0.14,1721026733067
-0.21,-1.75,9.61,0.08,-0.11,-0.16,1721026733078
-0.41,-2.28,9.66,0.06,-0.11,-0.15,1721026733081
-0.57,-2.19,9.45,0.07,-0.09,-0.13,1721026733084
-0.63,-1.81,9.28,0.11,-0.03,-0.11,1721026733087
-0.66,-1.81,9.50,0.15,0.04,-0.07,1721026733090
-0.54,-1.82,10.40,0.16,0.12,-0.00,1721026733092
-0.58,-1.06,10.51,0.12,0.20,0.08,1721026733095
-0.53,-0.11,10.80,0.06,0.34,0.27,1721026733106
-0.49,0.09,10.85,0.08,0.31,0.28,1721026733109
-0.29,0.10,11.17,0.11,0.24,0.29,1721026733112
-0.03,0.36,11.43,0.14,0.14,0.30,1721026733115
0.16,1.21,11.49,0.18,0.04,0.29,1721026733118
0.38,2.27,11.28,0.24,-0.04,0.26,1721026733120
0.88,1.55,8.52,0.37,-0.20,0.11,1721026733131
0.84,1.38,7.48,0.38,-0.22,0.09,1721026733134
0.76,1.73,7.13,0.37,-0.21,0.05,1721026733137
0.76,2.07,7.16,0.32,-0.17,0.01,1721026733140
0.79,2.58,7.17,0.22,-0.10,-0.01,1721026733143
0.79,2.54,7.26,0.13,-0.01,0.00,1721026733145
0.11,0.20,8.61,-0.03,0.32,0.10,1721026733155
-0.14,0.23,8.94,-0.01,0.43,0.08,1721026733158
-0.22,0.28,9.29,0.03,0.52,0.07,1721026733161
-0.27,0.57,10.32,0.02,0.56,0.09,1721026733164
-0.53,1.43,10.67,-0.04,0.55,0.12,1721026733167
-1.05,1.50,10.76,-0.10,0.49,0.13,1721026733169
-1.50,-1.55,10.49,-0.12,0.03,0.06,1721026733179
-1.41,-1.92,10.74,-0.05,-0.14,0.07,1721026733182
